Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J00026+383,4.0,,,J00026+383,40.614,0.346,0.0,0.0,0.0,Infinity,4.676470134896081,1.545663210132379,4.0,,,,,,,,14.671,0.04,13.208,0.0032,11.6667,0.0276,Infinity,J00026+383,PM J00026+3821A,15.507,0.04,UCAC4,14.671,0.04,13.931,0.02,UCAC4
J00051+457,1.0,0.4918,0.0122,J00051+457,11.504,0.002,0.044,0.0,106847.06887924498,2.2733425692407588E-5,0.3847041208526388,0.11308305820018462,1.0,HS,Karmn,,2.0,,15.37,0.09,10.498,0.078,9.0851,0.0028,8.0469,0.0038,2.2733425692407584E-5,J00051+457,BD+44 4548,11.504,0.123,APASS9,10.498,0.078,10.102,0.074,APASS9
J00056+458,0.0,,,J00056+458,11.518,0.004,0.0,0.0,0.0,Infinity,0.7577870022770418,0.1700376921177904,0.0,,,,3.0,2.3,,,9.868,0.001,8.3007,0.0028,7.3525,0.0038,Infinity,J00056+458,HD 38B,10.746,0.0,UCAC4,9.868,0.001,9.096,0.0,UCAC4
J00077+603,4.0,,,J00077+603,15.384,0.028,0.0,0.0,0.0,Infinity,3.1668011039840986,0.3390270180486492,4.0,,,,7.8,,,,14.128,0.03,12.4016,0.0029,10.695,0.0077,Infinity,J00077+603,G 217-32A,15.083,0.05,UCAC4,14.128,0.03,13.399,0.02,UCAC4
J00081+479,4.0,,,J00081+479,18.649,0.011,0.0,0.0,0.0,Infinity,8.330863744460526,0.7654105586806154,4.0,,,,,,4.37,,13.472,0.06,11.4232,0.0028,10.1998,0.004,Infinity,J00081+479,1RXS J000806.3+475659,14.39,0.06,UCAC4,13.472,0.06,12.779,0.03,UCAC4
J00088+208,4.5,,,J00088+208,18.098,0.249,0.0,0.0,0.0,Infinity,2.570206151280278,0.5366191897631369,4.5,,,,9.6,,,,14.276,0.04,12.0043,0.0032,10.6972,0.004,Infinity,J00088+208,LP 404-33,15.166,0.09,UCAC4,14.276,0.04,13.521,0.05,UCAC4
J00118+229,3.5,0.3885,0.0164,J00118+229,20.479,0.023,0.016,0.0,12260.556137435402,0.003068294705355031,18.881059195674865,2.0497687048378213,3.5,,,,,,,,13.729,0.04,11.7604,0.0028,10.5545,0.0038,0.003068294705355031,J00118+229,LP 348-040,14.581,0.04,UCAC4,13.729,0.04,13.002,0.04,UCAC4
J00122+304,4.5,0.988,0.095,J00122+304,74.789,2.093,0.076,0.013,4366.623738482304,4.818368189158464E-4,14.083897029312967,5.114114468648655,4.5,,,,,,,,15.533,0.08,13.4165,0.0038,12.0975,0.0047,4.818368189158464E-4,J00122+304,1RXS J001213.6+302906,16.361,0.18,UCAC4,15.533,0.08,14.864,0.06,UCAC4
J00137+806,5.0,,,J00137+806,19.237,0.022,0.0,0.0,0.0,Infinity,0.987600160441998,0.2209921473365142,5.0,,,,,,,,15.238,0.001,14.4215,0.0029,12.9306,0.016,Infinity,J00137+806,LP 012-304,,,,15.238,0.001,,,
J00159-166,4.1,,,J00159-166,17.827,0.03,0.0,0.0,0.0,Infinity,5.30253104957443,0.7735868188964192,4.1,,,,,,,,13.976,0.02,11.7479,0.0028,10.4972,0.0039,Infinity,J00159-166,BPS CS 31060-0015,14.875,0.06,UCAC4,13.976,0.02,13.184,0.04,UCAC4
J00162+198W,4.0,0.4829,0.0194,J00162+198W,15.359,0.01,0.022,0.0,29971.221879509027,8.441764802519037E-4,7.142745996003694,0.6304000521729408,4.0,,,,4.0,1.6,4.83,0.06,12.87,0.01,10.9089,0.0028,9.673,0.004,8.441764802519037E-4,J00162+198W,EZ Psc,13.741,0.0,APASS9,12.87,0.01,12.145,0.01,UCAC4
J00169+200,3.5,,,J00169+200,34.118,0.113,0.0,0.0,0.0,Infinity,4.778184070641578,1.1353410875768553,3.5,,,,22.0,,17.3222,,14.638,0.02,13.1971,0.0029,11.3945,0.017,Infinity,J00169+200,G 131-047A,,,,14.638,0.02,,,
J00176-086,0.0,0.7006,0.0249,J00176-086,32.047,0.09,0.098,0.002,30666.127881293305,9.37190402258911E-5,3.532345508964375,1.0864973427162397,0.0,HS,Karmn,,,,,,11.745,0.08,10.2711,0.0028,9.3104,0.0039,9.371904022589109E-5,J00176-086,BD-09 40,12.401,0.04,UCAC4,11.745,0.08,10.978,0.03,UCAC4
J00183+440,1.0,0.3946,0.0141,J00183+440,3.562,0.0,0.024,0.001,607898.4963845657,2.329994175299746E-5,0.21506778422631082,0.019283824512744203,1.0,,,,2.0,,45.0,4.4,8.707,0.018,7.2186,0.0028,6.1677,0.0038,2.3299941752997456E-5,J00183+440,GX And,10.391,0.118,APASS9,8.707,0.018,8.284,0.0,UCAC4
J00219+492,2.5,,,J00219+492,29.524,0.022,0.0,0.0,0.0,Infinity,6.390414118725672,1.030644640645573,2.5,,,,,,6.18,,13.637,0.08,11.8628,0.0028,10.712,0.004,Infinity,J00219+492,LP  149-56 A,14.367,0.09,UCAC4,13.637,0.08,12.846,0.05,UCAC4
J00234+771,1.5,0.4932,0.0192,J00234+771,19.132,0.004,0.036,0.001,31607.445796160224,2.796809362701656E-5,0.38723502045260444,0.13842338419994407,1.5,,,,,,,,12.068,0.08,10.4258,0.0028,9.372,0.0038,2.7968093627016564E-5,J00234+771,G 242-51,12.907,0.138,APASS9,12.068,0.08,11.316,0.066,APASS9
J00245+300,4.5,0.2539,0.0129,J00245+300,19.487,0.016,0.006,0.0,5077.722565580592,8.497904329137126E-4,1.9609764200371644,0.43355074679651234,4.5,,,,12.2,0.8,1.08,0.02,15.311,0.08,12.9607,0.0029,11.672,0.0041,8.497904329137126E-4,J00245+300,G 130-068,16.188,0.06,UCAC4,15.311,0.08,14.515,0.07,UCAC4
J00288+503,4.0,,,J00288+503,13.476,0.174,0.0,0.0,0.0,Infinity,3.5464232119646937,0.33143124468172497,4.0,,,,14.2,1.5,1.09,,13.933,0.07,12.0766,0.0089,10.58,0.0038,Infinity,J00288+503,G 172-001,14.8,0.06,UCAC4,13.933,0.07,13.171,0.06,UCAC4
J00324+672N,2.0,,,J00324+672N,9.893,0.045,0.0,0.0,0.0,Infinity,0.5439385265945906,0.10494593653477638,2.0,,,,4.0,,,,11.09,0.02,9.5666,0.0034,8.421,0.0038,Infinity,J00324+672N,BD+66 34A,11.871,0.01,APASS9,11.09,0.02,10.325,0.01,APASS9
J00325+074,4.0,,,J00325+074,35.169,0.075,0.0,0.0,0.0,Infinity,32.83832883580835,5.056377298658461,4.0,,,,14.7,,,,13.377,0.03,11.653,0.003,10.1106,0.0045,Infinity,J00325+074,LP 525-39 A,14.189,0.02,UCAC4,13.377,0.03,12.823,0.33,UCAC4
J00328-045,4.5,,,J00328-045,18.92,0.036,0.0,0.0,0.0,Infinity,0.750975564565974,0.3525686780520879,4.5,,,,,,,,14.732,0.05,12.5494,0.0028,11.2006,0.0039,Infinity,J00328-045,GR* 50,15.654,0.03,UCAC4,14.732,0.05,13.999,0.04,UCAC4
J00341+253,0.0,,,J00341+253,49.749,0.096,0.0,0.0,0.0,Infinity,45.260788668037485,5.740161377536251,0.0,,,,11.1,1.2,3.16,,11.803,0.05,11.2258,0.0031,10.2216,0.0138,Infinity,J00341+253,V* V493 And A,12.392,0.05,UCAC4,11.803,0.05,11.095,0.05,UCAC4
J00374+515,0.5,0.6358,0.0234,J00374+515,32.538,0.028,0.073,0.002,22158.93354035867,6.530097777798828E-5,1.833377164954034,0.7361382577605361,0.5,,,,8.0,,7.2,,12.208,0.02,10.6984,0.0028,9.713,0.004,6.530097777798831E-5,J00374+515,G 172-014,12.894,0.03,UCAC4,12.208,0.02,11.469,0.06,UCAC4
J00389+306,2.5,0.4132,0.0112,J00389+306,12.675,0.004,0.025,0.0,50009.40976663338,2.715489037745829E-5,0.2610942748698693,0.11170527356859287,2.5,,,,2.0,,50.2,1.3,11.507,0.02,10.0552,0.0028,8.9402,0.0039,2.7154890377458294E-5,J00389+306,Wolf 1056,12.605,0.032,APASS9,11.507,0.02,11.0,0.042,APASS9
J00395+149S,4.0,0.338,0.015,J00395+149S,28.722,0.026,0.011,0.0,4285.198913839819,8.256326434194027E-4,3.4929214423233668,0.8421316700735638,4.0,HS,Karmn,,,,34.0,0.6,15.089,0.003,12.9003,0.0029,11.6824,0.0042,8.256326434194027E-4,J00395+149S,LP 465-061,,,,15.089,0.003,,,
J00428+355,1.0,,,J00428+355,21.68,0.009,0.0,0.0,0.0,Infinity,44.12057261155129,1.9985517088318834,1.0,,,,10.6,0.3,2.17,,11.249,0.17,9.5623,0.0028,8.5251,0.004,Infinity,J00428+355,FF And,11.883,0.04,UCAC4,11.249,0.17,10.428,0.05,UCAC4
J00459+337,4.5,,,J00459+337,20.03,0.05,0.0,0.0,0.0,Infinity,1.003482524610291,0.29672353898984805,4.5,,,,,,,,16.108,0.07,13.5276,0.003,12.1825,0.0039,Infinity,J00459+337,G 132-25,17.134,0.2,UCAC4,16.108,0.07,15.344,0.07,UCAC4
J00489+445,3.0,,,J00489+445,33.832,0.087,0.0,0.0,0.0,Infinity,32.31904749260558,3.505316754603256,3.0,,,,15.6,1.4,1.3,,13.808,0.06,12.4929,0.0032,10.7682,0.017,Infinity,J00489+445,LP 193-564 A,14.658,0.01,UCAC4,13.808,0.06,13.074,0.02,UCAC4
J00502+086,4.5,,,J00502+086,61.307,0.196,0.0,0.0,0.0,Infinity,25.85913835124565,5.334656014376818,4.5,,,,,,,,15.075,0.04,12.8525,0.0029,11.5867,0.004,Infinity,J00502+086,RX J0050.2+0837 2,15.932,0.04,UCAC4,15.075,0.04,14.371,0.01,UCAC4
J00505+248,3.5,,,J00505+248,14.987,0.017,0.0,0.0,0.0,Infinity,9.410726430123756,1.043754684684467,3.5,,,,20.0,,1.7,,12.897,0.03,11.2407,0.0033,9.6612,0.0057,Infinity,J00505+248,V* FT Psc A,13.785,0.01,UCAC4,12.897,0.03,12.165,0.01,UCAC4
J00548+275,4.5,0.2874,0.0137,J00548+275,27.424,0.015,0.007,0.0,2991.1908419330503,0.0014669742732323816,3.949388260300761,1.0791514392700854,4.5,HS,Karmn,,9.0,0.7,1.712499976158142,,15.699,0.02,13.4501,0.0028,12.1849,0.0039,0.0014669742732323814,J00548+275,G 69-32,16.602,0.07,UCAC4,15.699,0.02,14.973,0.06,UCAC4
J00580+393,4.5,0.2141,0.0116,J00580+393,14.622,0.008,0.004,0.0,6012.486731987813,3.562585757652896E-4,0.5480682189891638,0.16656976180115332,4.5,UMa,Karmn,,,,0.9142000079154968,,14.92,0.03,12.6485,0.0028,11.3721,0.0038,3.562585757652896E-4,J00580+393,1RXS J005802.4+391912,15.837,0.05,UCAC4,14.92,0.03,14.168,0.03,UCAC4
J01013+613,2.0,0.3671,0.0108,J01013+613,10.53,0.002,0.02,0.0,57967.013845824426,3.7590342442227296E-5,0.28914490760272,0.09142765187678474,2.0,,,,2.0,,34.70000076293945,0.1,11.587,0.043,9.8461,0.0028,8.7434,0.0038,3.759034244222731E-5,J01013+613,GJ 47,12.401,0.045,APASS9,11.587,0.043,10.806,0.062,APASS9
J01025+716,3.0,0.4651,0.0132,J01025+716,8.233,0.001,0.03,0.0,142237.03737583893,6.348557406696696E-6,0.07324965372120908,0.032285008209437416,3.0,,,,2.0,,51.5,2.6,10.869,0.11,8.9419,0.0028,7.7961,0.0039,6.348557406696695E-6,J01025+716,Ross 318,11.453,0.006,APASS9,10.869,0.11,10.044,0.011,APASS9
